0.049450	-0.138396	0.112592	-0.160742	0.055896	-0.028879	0.386033	0.027299	0.150982	0.030488	0.060162	0.409725	-0.033494	-0.057427	-0.128134	-0.077777	0.158716	0.076671	0.212181	0.002638	
0.122837	0.051688	0.035333	-0.157672	0.125534	0.112086	0.396148	-0.074528	0.027703	-0.035903	0.056909	0.307012	0.031616	-0.064565	0.017075	0.051920	0.103385	-0.029062	0.087289	0.043129	
0.048323	0.046922	0.078711	-0.105108	0.262806	0.011773	0.271530	0.149531	-0.010779	0.100542	-0.042530	0.341916	0.082084	0.034799	0.055049	-0.104036	0.067653	0.019027	0.105568	-0.115882	
0.306084	0.061947	0.093048	-0.058299	0.270694	-0.104743	0.171974	0.102087	0.043033	-0.123905	-0.049482	0.321214	0.128933	0.071225	0.086911	0.080085	0.003765	-0.073729	0.237686	0.057811	
0.073711	0.094626	0.025583	0.035858	0.126676	-0.134233	0.386237	-0.077663	0.061632	0.108636	-0.112182	0.321513	0.100437	0.022862	-0.142043	0.059477	0.114948	-0.126177	0.169635	-0.053256	
0.072878	0.019623	0.169876	0.081873	0.088098	0.041922	0.340311	0.095934	0.145032	-0.081233	-0.040954	0.172540	-0.056752	0.026625	0.079203	0.034331	0.089221	0.033270	0.240801	-0.060385	
0.188804	0.028089	0.163046	-0.106758	0.048202	0.082199	0.407134	0.167220	0.132861	-0.082461	-0.080735	0.159535	0.143078	0.131138	0.112213	-0.080478	0.093827	0.020354	0.299588	0.027622	
0.262081	-0.117958	0.102079	0.085391	0.181979	-0.033582	0.298076	-0.000792	-0.099536	-0.120353	0.020186	0.319127	0.113652	-0.050833	0.083174	0.126261	-0.047867	0.058138	0.301551	0.149818	
0.298637	0.120287	0.211271	0.045715	0.248675	0.108619	0.419652	0.070511	0.029751	0.060011	-0.096566	0.245628	0.147968	0.047509	-0.074237	0.018293	-0.065306	0.067731	0.301633	-0.100017	
0.270337	-0.054771	0.121027	-0.012010	0.167707	-0.010664	0.292604	0.123911	-0.051749	-0.065074	0.079030	0.200684	-0.014933	0.056236	0.117205	-0.077912	0.085623	0.104688	0.276730	-0.095864	
0.211596	0.079634	0.051682	-0.036434	0.124394	0.038642	0.160212	0.063158	0.007150	0.078677	0.044504	0.231284	-0.046240	-0.068534	0.090079	0.085874	0.117631	-0.049487	0.217855	0.130706	
0.208398	-0.079706	-0.042753	0.073527	0.249842	0.135648	0.173968	0.063473	0.141113	0.067530	0.048972	0.306506	0.077018	-0.133411	-0.135185	-0.110242	0.102059	-0.131081	0.237048	-0.102028	
