1.000000e-03 15002 -8.169621e-03 0.000000e+00
1.250000e-03 15002 -6.385164e-03 0.000000e+00
1.562500e-03 15002 -1.429322e-03 0.000000e+00
1.953125e-03 15002 -8.673472e-04 0.000000e+00
2.441406e-03 15002 -3.004660e-04 0.000000e+00
3.051758e-03 15002 -6.755509e-04 0.000000e+00
3.814697e-03 15002 -3.039929e-03 0.000000e+00
4.768372e-03 15002 7.984859e-04 0.000000e+00
5.960465e-03 15002 -2.552215e-03 0.000000e+00
7.450581e-03 15002 1.384163e-03 0.000000e+00
9.313227e-03 15002 1.265022e-02 0.000000e+00
1.164153e-02 15002 6.870328e-05 0.000000e+00
1.455192e-02 13389 7.390933e-04 7.390868e-04
1.818990e-02 11137 7.172985e-04 7.173003e-04
2.273737e-02 9958 5.244589e-04 5.244667e-04
2.842171e-02 7780 5.535609e-04 5.535487e-04
3.552714e-02 5580 2.961113e-04 2.961061e-04
4.440892e-02 5003 2.693098e-04 2.693046e-04
5.551115e-02 3861 3.342300e-04 3.342220e-04
6.938894e-02 3300 1.931197e-05 1.931626e-05
8.673617e-02 2745 1.689273e-04 1.689488e-04
1.084202e-01 2255 7.367883e-05 7.367755e-05
1.355253e-01 2193 1.708832e-05 1.709035e-05
1.694066e-01 1883 3.984554e-05 3.985288e-05
2.117582e-01 1561 1.540689e-05 1.543150e-05
2.646977e-01 1432 6.488990e-06 6.490160e-06
3.308722e-01 1438 9.711339e-07 9.708387e-07
4.135902e-01 0 1.093912e-04 0.000000e+00
5.169878e-01 0 1.210238e-04 0.000000e+00
6.462348e-01 0 4.887854e-03 0.000000e+00
8.077934e-01 0 1.315181e-02 0.000000e+00
