3.814697e-03 12930 2.304326e-04 2.304632e-04 0
4.768371e-03 9692 7.113728e-04 7.114198e-04 0
5.960464e-03 8607 6.353854e-04 6.353841e-04 0
7.450580e-03 8028 8.299239e-04 8.299453e-04 0
9.313225e-03 4851 7.680382e-04 7.680601e-04 0
1.164153e-02 4807 4.886838e-04 4.886787e-04 0
1.455191e-02 3819 3.771574e-04 3.771461e-04 0
1.818989e-02 3191 3.729605e-04 3.729783e-04 0
2.273737e-02 3228 1.353146e-04 1.353263e-04 0
2.842171e-02 1813 3.030981e-04 3.031005e-04 0
3.552713e-02 1689 2.990608e-04 2.990773e-04 0
4.440892e-02 1705 2.142803e-04 2.142731e-04 0
5.551115e-02 1543 3.934947e-04 3.934848e-04 0
6.938893e-02 1592 3.287440e-04 0.000000e+00 1
8.673616e-02 1395 1.160362e-04 0.000000e+00 1
